/Users/georgetrump/Visual Studio Code/dishify/.venv/lib/python3.13/site-packages/qdrant_client/qdrant_remote.py:282: UserWarning: Qdrant client version 1.18.0 is incompatible with server version 1.12.4. Major versions should match and minor version difference must not exceed 1. Set check_compatibility=False to skip version check.
  show_warning(
CSV: /Users/georgetrump/Visual Studio Code/dishify/data/dataset_full_annotated.csv
Collection: recipes_full
Qdrant URL: http://localhost:6333
Embedding model: sentence-transformers/all-MiniLM-L6-v2
Start row: 135,500
Dry run: False
Qdrant timeout: 120s
Upload batch size: 50
Upload retries: 3
Skip upload errors: True
Total rows: 2,230,132
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 17981.82it/s]
/Users/georgetrump/Visual Studio Code/dishify/backend/scripts/index_full_recipes.py:67: FutureWarning: The `get_sentence_embedding_dimension` method has been renamed to `get_embedding_dimension`.
  self.vector_size = embedding_model.get_sentence_embedding_dimension()
Rows 140,500/2,230,132 | batch=5,000 in 5.0s | avg=755.5 rows/s | skipped_upload_points=0
Rows 1,370,500/2,230,132 | batch=5,000 in 7.4s | avg=665.4 rows/s | skipped_upload_points=0
Rows 1,375,500/2,230,132 | batch=5,000 in 8.8s | avg=664.5 rows/s | skipped_upload_points=0
Rows 1,380,500/2,230,132 | batch=5,000 in 9.0s | avg=663.6 rows/s | skipped_upload_points=0
Rows 1,385,500/2,230,132 | batch=5,000 in 8.9s | avg=662.6 rows/s | skipped_upload_points=0
Rows 1,390,500/2,230,132 | batch=5,000 in 8.4s | avg=661.9 rows/s | skipped_upload_points=0
Rows 1,395,500/2,230,132 | batch=5,000 in 8.6s | avg=661.3 rows/s | skipped_upload_points=0
Rows 1,400,500/2,230,132 | batch=5,000 in 9.6s | avg=660.1 rows/s | skipped_upload_points=0
Rows 1,405,500/2,230,132 | batch=5,000 in 8.9s | avg=659.3 rows/s | skipped_upload_points=0
Rows 1,410,500/2,230,132 | batch=5,000 in 8.7s | avg=658.6 rows/s | skipped_upload_points=0
Rows 1,415,500/2,230,132 | batch=5,000 in 7.6s | avg=658.3 rows/s | skipped_upload_points=0
Rows 1,420,500/2,230,132 | batch=5,000 in 8.3s | avg=657.7 rows/s | skipped_upload_points=0
Rows 1,425,500/2,230,132 | batch=5,000 in 7.5s | avg=657.4 rows/s | skipped_upload_points=0
Rows 1,430,500/2,230,132 | batch=5,000 in 7.9s | avg=656.9 rows/s | skipped_upload_points=0
Rows 1,435,500/2,230,132 | batch=5,000 in 7.8s | avg=656.5 rows/s | skipped_upload_points=0
Rows 1,440,500/2,230,132 | batch=5,000 in 7.7s | avg=656.2 rows/s | skipped_upload_points=0
Rows 1,445,500/2,230,132 | batch=5,000 in 8.0s | avg=655.7 rows/s | skipped_upload_points=0
Rows 1,450,500/2,230,132 | batch=5,000 in 7.8s | avg=655.4 rows/s | skipped_upload_points=0
Rows 1,455,500/2,230,132 | batch=5,000 in 7.6s | avg=655.0 rows/s | skipped_upload_points=0
Rows 1,460,500/2,230,132 | batch=5,000 in 7.7s | avg=654.7 rows/s | skipped_upload_points=0
Rows 1,465,500/2,230,132 | batch=5,000 in 5.5s | avg=655.1 rows/s | skipped_upload_points=0
Rows 1,470,500/2,230,132 | batch=5,000 in 5.7s | avg=655.4 rows/s | skipped_upload_points=0
Rows 1,475,500/2,230,132 | batch=5,000 in 5.1s | avg=656.0 rows/s | skipped_upload_points=0
Rows 1,480,500/2,230,132 | batch=5,000 in 5.7s | avg=656.3 rows/s | skipped_upload_points=0
Rows 1,485,500/2,230,132 | batch=5,000 in 5.7s | avg=656.6 rows/s | skipped_upload_points=0
Rows 1,490,500/2,230,132 | batch=5,000 in 5.4s | avg=657.1 rows/s | skipped_upload_points=0
Rows 1,495,500/2,230,132 | batch=5,000 in 9.5s | avg=656.2 rows/s | skipped_upload_points=0
Rows 1,500,500/2,230,132 | batch=5,000 in 9.7s | avg=655.2 rows/s | skipped_upload_points=0
Rows 1,505,500/2,230,132 | batch=5,000 in 12.0s | avg=653.5 rows/s | skipped_upload_points=0
Rows 1,510,500/2,230,132 | batch=5,000 in 8.7s | avg=652.8 rows/s | skipped_upload_points=0
Rows 1,515,500/2,230,132 | batch=5,000 in 8.7s | avg=652.1 rows/s | skipped_upload_points=0
Rows 1,520,500/2,230,132 | batch=5,000 in 8.9s | avg=651.5 rows/s | skipped_upload_points=0
Rows 1,525,500/2,230,132 | batch=5,000 in 7.1s | avg=651.3 rows/s | skipped_upload_points=0
Rows 1,530,500/2,230,132 | batch=5,000 in 7.6s | avg=651.1 rows/s | skipped_upload_points=0
Rows 1,535,500/2,230,132 | batch=5,000 in 8.0s | avg=650.6 rows/s | skipped_upload_points=0
Rows 1,540,500/2,230,132 | batch=5,000 in 7.9s | avg=650.2 rows/s | skipped_upload_points=0
Rows 1,545,500/2,230,132 | batch=5,000 in 8.6s | avg=649.7 rows/s | skipped_upload_points=0
Rows 1,550,500/2,230,132 | batch=5,000 in 7.8s | avg=649.3 rows/s | skipped_upload_points=0
Rows 1,555,500/2,230,132 | batch=5,000 in 8.8s | avg=648.7 rows/s | skipped_upload_points=0
Rows 1,560,500/2,230,132 | batch=5,000 in 8.4s | avg=648.2 rows/s | skipped_upload_points=0
Rows 1,565,500/2,230,132 | batch=5,000 in 7.9s | avg=647.9 rows/s | skipped_upload_points=0
Rows 1,570,500/2,230,132 | batch=5,000 in 9.6s | avg=647.0 rows/s | skipped_upload_points=0
Rows 1,575,500/2,230,132 | batch=5,000 in 8.5s | avg=646.5 rows/s | skipped_upload_points=0
Rows 1,580,500/2,230,132 | batch=5,000 in 7.7s | avg=646.2 rows/s | skipped_upload_points=0
Rows 1,585,500/2,230,132 | batch=5,000 in 7.7s | avg=645.9 rows/s | skipped_upload_points=0
Rows 1,590,500/2,230,132 | batch=5,000 in 7.8s | avg=645.6 rows/s | skipped_upload_points=0
Rows 1,595,500/2,230,132 | batch=5,000 in 8.1s | avg=645.2 rows/s | skipped_upload_points=0
Rows 1,600,500/2,230,132 | batch=5,000 in 10.2s | avg=644.2 rows/s | skipped_upload_points=0
Rows 1,605,500/2,230,132 | batch=5,000 in 8.9s | avg=643.6 rows/s | skipped_upload_points=0
Rows 1,610,500/2,230,132 | batch=5,000 in 7.6s | avg=643.4 rows/s | skipped_upload_points=0
Rows 1,615,500/2,230,132 | batch=5,000 in 6.4s | avg=643.5 rows/s | skipped_upload_points=0
Rows 1,620,500/2,230,132 | batch=5,000 in 5.6s | avg=643.9 rows/s | skipped_upload_points=0
Rows 1,625,500/2,230,132 | batch=5,000 in 7.5s | avg=643.7 rows/s | skipped_upload_points=0
Rows 1,630,500/2,230,132 | batch=5,000 in 5.6s | avg=644.1 rows/s | skipped_upload_points=0
Rows 1,635,500/2,230,132 | batch=5,000 in 6.1s | avg=644.3 rows/s | skipped_upload_points=0
Rows 1,640,500/2,230,132 | batch=5,000 in 6.0s | avg=644.6 rows/s | skipped_upload_points=0
Rows 1,645,500/2,230,132 | batch=5,000 in 5.4s | avg=645.0 rows/s | skipped_upload_points=0
Rows 1,650,500/2,230,132 | batch=5,000 in 6.6s | avg=645.1 rows/s | skipped_upload_points=0
Rows 1,655,500/2,230,132 | batch=5,000 in 6.5s | avg=645.2 rows/s | skipped_upload_points=0
Rows 1,660,500/2,230,132 | batch=5,000 in 7.1s | avg=645.1 rows/s | skipped_upload_points=0
Rows 1,665,500/2,230,132 | batch=5,000 in 7.1s | avg=645.1 rows/s | skipped_upload_points=0
Rows 1,670,500/2,230,132 | batch=5,000 in 7.1s | avg=645.0 rows/s | skipped_upload_points=0
Rows 1,675,500/2,230,132 | batch=5,000 in 7.5s | avg=644.8 rows/s | skipped_upload_points=0
Rows 1,680,500/2,230,132 | batch=5,000 in 9.8s | avg=644.0 rows/s | skipped_upload_points=0
Rows 1,685,500/2,230,132 | batch=5,000 in 8.6s | avg=643.5 rows/s | skipped_upload_points=0
Rows 1,690,500/2,230,132 | batch=5,000 in 8.2s | avg=643.1 rows/s | skipped_upload_points=0
Rows 1,695,500/2,230,132 | batch=5,000 in 8.7s | avg=642.6 rows/s | skipped_upload_points=0
Rows 1,700,500/2,230,132 | batch=5,000 in 10.0s | avg=641.7 rows/s | skipped_upload_points=0
Rows 1,705,500/2,230,132 | batch=5,000 in 9.3s | avg=641.1 rows/s | skipped_upload_points=0
Rows 1,710,500/2,230,132 | batch=5,000 in 10.0s | avg=640.3 rows/s | skipped_upload_points=0
Rows 1,715,500/2,230,132 | batch=5,000 in 9.8s | avg=639.5 rows/s | skipped_upload_points=0
Rows 1,720,500/2,230,132 | batch=5,000 in 9.0s | avg=639.0 rows/s | skipped_upload_points=0
Rows 1,725,500/2,230,132 | batch=5,000 in 9.7s | avg=638.3 rows/s | skipped_upload_points=0
Rows 1,730,500/2,230,132 | batch=5,000 in 7.5s | avg=638.1 rows/s | skipped_upload_points=0
Rows 1,735,500/2,230,132 | batch=5,000 in 9.1s | avg=637.5 rows/s | skipped_upload_points=0
Rows 1,740,500/2,230,132 | batch=5,000 in 7.0s | avg=637.5 rows/s | skipped_upload_points=0
Rows 1,745,500/2,230,132 | batch=5,000 in 7.8s | avg=637.2 rows/s | skipped_upload_points=0
Rows 1,750,500/2,230,132 | batch=5,000 in 9.3s | avg=636.6 rows/s | skipped_upload_points=0
Rows 1,755,500/2,230,132 | batch=5,000 in 7.8s | avg=636.4 rows/s | skipped_upload_points=0
Rows 1,760,500/2,230,132 | batch=5,000 in 8.0s | avg=636.1 rows/s | skipped_upload_points=0
Rows 1,765,500/2,230,132 | batch=5,000 in 8.5s | avg=635.7 rows/s | skipped_upload_points=0
Rows 1,770,500/2,230,132 | batch=5,000 in 9.5s | avg=635.0 rows/s | skipped_upload_points=0
Rows 1,775,500/2,230,132 | batch=5,000 in 7.3s | avg=634.9 rows/s | skipped_upload_points=0
Rows 1,780,500/2,230,132 | batch=5,000 in 8.4s | avg=634.5 rows/s | skipped_upload_points=0
Rows 1,785,500/2,230,132 | batch=5,000 in 7.6s | avg=634.4 rows/s | skipped_upload_points=0
Rows 1,790,500/2,230,132 | batch=5,000 in 7.7s | avg=634.1 rows/s | skipped_upload_points=0
Rows 1,795,500/2,230,132 | batch=5,000 in 7.0s | avg=634.1 rows/s | skipped_upload_points=0
Rows 1,800,500/2,230,132 | batch=5,000 in 7.7s | avg=633.9 rows/s | skipped_upload_points=0
Rows 1,805,500/2,230,132 | batch=5,000 in 8.8s | avg=633.5 rows/s | skipped_upload_points=0
Rows 1,810,500/2,230,132 | batch=5,000 in 9.9s | avg=632.7 rows/s | skipped_upload_points=0
Rows 1,815,500/2,230,132 | batch=5,000 in 8.0s | avg=632.5 rows/s | skipped_upload_points=0
Rows 1,820,500/2,230,132 | batch=5,000 in 8.1s | avg=632.2 rows/s | skipped_upload_points=0
Rows 1,825,500/2,230,132 | batch=5,000 in 5.6s | avg=632.5 rows/s | skipped_upload_points=0
Rows 1,830,500/2,230,132 | batch=5,000 in 6.7s | avg=632.6 rows/s | skipped_upload_points=0
Rows 1,835,500/2,230,132 | batch=5,000 in 5.9s | avg=632.8 rows/s | skipped_upload_points=0
Rows 1,840,500/2,230,132 | batch=5,000 in 5.7s | avg=633.1 rows/s | skipped_upload_points=0
Rows 1,845,500/2,230,132 | batch=5,000 in 5.5s | avg=633.5 rows/s | skipped_upload_points=0
Rows 1,850,500/2,230,132 | batch=5,000 in 5.4s | avg=633.9 rows/s | skipped_upload_points=0
Rows 1,855,500/2,230,132 | batch=5,000 in 5.3s | avg=634.3 rows/s | skipped_upload_points=0
Rows 1,860,500/2,230,132 | batch=5,000 in 5.8s | avg=634.6 rows/s | skipped_upload_points=0
Rows 1,865,500/2,230,132 | batch=5,000 in 5.6s | avg=634.9 rows/s | skipped_upload_points=0
Rows 1,870,500/2,230,132 | batch=5,000 in 6.7s | avg=635.0 rows/s | skipped_upload_points=0
Rows 1,875,500/2,230,132 | batch=5,000 in 9.3s | avg=634.4 rows/s | skipped_upload_points=0
Rows 1,880,500/2,230,132 | batch=5,000 in 10.0s | avg=633.7 rows/s | skipped_upload_points=0
Rows 1,885,500/2,230,132 | batch=5,000 in 8.4s | avg=633.4 rows/s | skipped_upload_points=0
Rows 1,890,500/2,230,132 | batch=5,000 in 8.3s | avg=633.1 rows/s | skipped_upload_points=0
Rows 1,895,500/2,230,132 | batch=5,000 in 8.4s | avg=632.7 rows/s | skipped_upload_points=0
Rows 1,900,500/2,230,132 | batch=5,000 in 7.9s | avg=632.5 rows/s | skipped_upload_points=0
Rows 1,905,500/2,230,132 | batch=5,000 in 8.0s | avg=632.2 rows/s | skipped_upload_points=0
Rows 1,910,500/2,230,132 | batch=5,000 in 8.0s | avg=632.0 rows/s | skipped_upload_points=0
Rows 1,915,500/2,230,132 | batch=5,000 in 9.5s | avg=631.4 rows/s | skipped_upload_points=0
Rows 1,920,500/2,230,132 | batch=5,000 in 9.1s | avg=630.8 rows/s | skipped_upload_points=0
Rows 1,925,500/2,230,132 | batch=5,000 in 8.2s | avg=630.6 rows/s | skipped_upload_points=0
Rows 1,930,500/2,230,132 | batch=5,000 in 8.7s | avg=630.2 rows/s | skipped_upload_points=0
Rows 1,935,500/2,230,132 | batch=5,000 in 9.6s | avg=629.6 rows/s | skipped_upload_points=0
Rows 1,940,500/2,230,132 | batch=5,000 in 8.3s | avg=629.3 rows/s | skipped_upload_points=0
Rows 1,945,500/2,230,132 | batch=5,000 in 9.1s | avg=628.8 rows/s | skipped_upload_points=0
Rows 1,950,500/2,230,132 | batch=5,000 in 8.2s | avg=628.6 rows/s | skipped_upload_points=0
Rows 1,955,500/2,230,132 | batch=5,000 in 6.4s | avg=628.8 rows/s | skipped_upload_points=0
Rows 1,960,500/2,230,132 | batch=5,000 in 7.1s | avg=628.7 rows/s | skipped_upload_points=0
Rows 1,965,500/2,230,132 | batch=5,000 in 6.8s | avg=628.8 rows/s | skipped_upload_points=0
Rows 1,970,500/2,230,132 | batch=5,000 in 7.1s | avg=628.7 rows/s | skipped_upload_points=0
Rows 1,975,500/2,230,132 | batch=5,000 in 7.5s | avg=628.6 rows/s | skipped_upload_points=0
Rows 1,980,500/2,230,132 | batch=5,000 in 6.8s | avg=628.6 rows/s | skipped_upload_points=0
Rows 1,985,500/2,230,132 | batch=5,000 in 7.5s | avg=628.5 rows/s | skipped_upload_points=0
Rows 1,990,500/2,230,132 | batch=5,000 in 8.1s | avg=628.3 rows/s | skipped_upload_points=0
Rows 1,995,500/2,230,132 | batch=5,000 in 7.6s | avg=628.1 rows/s | skipped_upload_points=0
Rows 2,000,500/2,230,132 | batch=5,000 in 9.2s | avg=627.6 rows/s | skipped_upload_points=0
Rows 2,005,500/2,230,132 | batch=5,000 in 7.8s | avg=627.5 rows/s | skipped_upload_points=0
Rows 2,010,500/2,230,132 | batch=5,000 in 9.1s | avg=627.0 rows/s | skipped_upload_points=0
Rows 2,015,500/2,230,132 | batch=5,000 in 8.6s | avg=626.6 rows/s | skipped_upload_points=0
Rows 2,020,500/2,230,132 | batch=5,000 in 8.8s | avg=626.3 rows/s | skipped_upload_points=0
Rows 2,025,500/2,230,132 | batch=5,000 in 8.3s | avg=626.0 rows/s | skipped_upload_points=0
Rows 2,030,500/2,230,132 | batch=5,000 in 8.4s | avg=625.7 rows/s | skipped_upload_points=0
Rows 2,035,500/2,230,132 | batch=5,000 in 9.4s | avg=625.2 rows/s | skipped_upload_points=0
Rows 2,040,500/2,230,132 | batch=5,000 in 8.3s | avg=624.9 rows/s | skipped_upload_points=0
Rows 2,045,500/2,230,132 | batch=5,000 in 7.8s | avg=624.7 rows/s | skipped_upload_points=0
Rows 2,050,500/2,230,132 | batch=5,000 in 8.5s | avg=624.4 rows/s | skipped_upload_points=0
Rows 2,055,500/2,230,132 | batch=5,000 in 8.4s | avg=624.1 rows/s | skipped_upload_points=0
Rows 2,060,500/2,230,132 | batch=5,000 in 9.2s | avg=623.7 rows/s | skipped_upload_points=0
Rows 2,065,500/2,230,132 | batch=5,000 in 8.4s | avg=623.4 rows/s | skipped_upload_points=0
Rows 2,070,500/2,230,132 | batch=5,000 in 9.5s | avg=622.9 rows/s | skipped_upload_points=0
Rows 2,075,500/2,230,132 | batch=5,000 in 8.3s | avg=622.6 rows/s | skipped_upload_points=0
Rows 2,080,500/2,230,132 | batch=5,000 in 7.8s | avg=622.4 rows/s | skipped_upload_points=0
Rows 2,085,500/2,230,132 | batch=5,000 in 7.4s | avg=622.4 rows/s | skipped_upload_points=0
Rows 2,090,500/2,230,132 | batch=5,000 in 9.0s | avg=622.0 rows/s | skipped_upload_points=0
Rows 2,095,500/2,230,132 | batch=5,000 in 9.7s | avg=621.5 rows/s | skipped_upload_points=0
Rows 2,100,500/2,230,132 | batch=5,000 in 6.2s | avg=621.7 rows/s | skipped_upload_points=0
Rows 2,105,500/2,230,132 | batch=5,000 in 6.5s | avg=621.8 rows/s | skipped_upload_points=0
Rows 2,110,500/2,230,132 | batch=5,000 in 5.9s | avg=622.0 rows/s | skipped_upload_points=0
Rows 2,115,500/2,230,132 | batch=5,000 in 5.8s | avg=622.3 rows/s | skipped_upload_points=0
Rows 2,120,500/2,230,132 | batch=5,000 in 5.6s | avg=622.6 rows/s | skipped_upload_points=0
Rows 2,125,500/2,230,132 | batch=5,000 in 5.2s | avg=623.0 rows/s | skipped_upload_points=0
Rows 2,130,500/2,230,132 | batch=5,000 in 5.4s | avg=623.3 rows/s | skipped_upload_points=0
Rows 2,135,500/2,230,132 | batch=5,000 in 5.2s | avg=623.7 rows/s | skipped_upload_points=0
Rows 2,140,500/2,230,132 | batch=5,000 in 5.5s | avg=624.0 rows/s | skipped_upload_points=0
Rows 2,145,500/2,230,132 | batch=5,000 in 5.3s | avg=624.4 rows/s | skipped_upload_points=0
Rows 2,150,500/2,230,132 | batch=5,000 in 5.5s | avg=624.7 rows/s | skipped_upload_points=0
Rows 2,155,500/2,230,132 | batch=5,000 in 6.1s | avg=624.9 rows/s | skipped_upload_points=0
Rows 2,160,500/2,230,132 | batch=5,000 in 6.0s | avg=625.1 rows/s | skipped_upload_points=0
Rows 2,165,500/2,230,132 | batch=5,000 in 7.2s | avg=625.1 rows/s | skipped_upload_points=0
Rows 2,170,500/2,230,132 | batch=5,000 in 7.7s | avg=625.0 rows/s | skipped_upload_points=0
Rows 2,175,500/2,230,132 | batch=5,000 in 7.0s | avg=625.0 rows/s | skipped_upload_points=0
Rows 2,180,500/2,230,132 | batch=5,000 in 8.1s | avg=624.8 rows/s | skipped_upload_points=0
Rows 2,185,500/2,230,132 | batch=5,000 in 7.1s | avg=624.8 rows/s | skipped_upload_points=0
Rows 2,190,500/2,230,132 | batch=5,000 in 7.1s | avg=624.8 rows/s | skipped_upload_points=0
Rows 2,195,500/2,230,132 | batch=5,000 in 7.0s | avg=624.8 rows/s | skipped_upload_points=0
Rows 2,200,500/2,230,132 | batch=5,000 in 7.4s | avg=624.7 rows/s | skipped_upload_points=0
Rows 2,205,500/2,230,132 | batch=5,000 in 6.8s | avg=624.8 rows/s | skipped_upload_points=0
Rows 2,210,500/2,230,132 | batch=5,000 in 6.5s | avg=624.8 rows/s | skipped_upload_points=0
Rows 2,215,500/2,230,132 | batch=5,000 in 7.5s | avg=624.8 rows/s | skipped_upload_points=0
Rows 2,220,500/2,230,132 | batch=5,000 in 9.1s | avg=624.4 rows/s | skipped_upload_points=0
Rows 2,225,500/2,230,132 | batch=5,000 in 9.5s | avg=623.9 rows/s | skipped_upload_points=0
Rows 2,230,125/2,230,132 | batch=4,625 in 8.2s | avg=623.6 rows/s | skipped_upload_points=0
Indexing complete: 2,094,625 rows in 56.0 min
Checkpoint: /Users/georgetrump/Visual Studio Code/dishify/data/.recipes_full_index_checkpoint.json
